X,Y
5.495694335937500341e+01,8.119988037109374091e+01
5.882074707031249972e+01,8.126306152343750000e+01
6.285921386718749915e+01,8.129838134765624602e+01
6.689010253906249659e+01,8.127101562500000398e+01
7.093070312500000796e+01,8.116747802734374773e+01
7.494950195312499375e+01,8.097302001953124773e+01
7.894576660156249659e+01,8.066659667968750114e+01
8.295333984375000114e+01,8.021071289062498977e+01
8.691277343749999318e+01,7.955431640624999545e+01
9.077996093749999318e+01,7.860129882812499602e+01
9.449124999999999375e+01,7.712128906249999716e+01
9.724128906250000171e+01,7.487938476562499091e+01
9.883317382812499829e+01,7.085398437500001023e+01
9.970513671874999773e+01,6.740063476562500000e+01
1.005348437499999932e+02,6.325842773437499744e+01
1.011944531249999955e+02,5.930483886718749886e+01
1.017475976562500080e+02,5.546609374999999886e+01
1.022671093750000040e+02,5.133824218750000057e+01
1.027153515625000040e+02,4.726903320312499801e+01
1.030891992187499966e+02,4.340905761718750000e+01
1.034289257812500011e+02,3.940569824218749773e+01
1.037314355468750051e+02,3.527779296874999915e+01
1.039801367187500034e+02,3.128230468750000171e+01
1.041846093750000080e+02,2.733016113281249915e+01
1.043503613281249898e+02,2.331867675781249716e+01
1.044750097656250034e+02,1.926233886718750199e+01
1.045554296875000091e+02,1.522634765624999886e+01
1.045909765625000034e+02,1.121830566406249829e+01
1.045805273437499920e+02,7.208461914062500142e+00
1.045218457031249955e+02,3.210312499999999680e+00
1.044111718750000080e+02,-8.070898437500000355e-01
1.042419042968749920e+02,-4.880869140625000213e+00
1.040135839843750034e+02,-8.897939453124999787e+00
1.037237499999999955e+02,-1.284327148437500021e+01
1.033605859374999909e+02,-1.679352539062499972e+01
1.028916406250000080e+02,-2.092523437500000227e+01
1.023385449218749983e+02,-2.491270507812500057e+01
1.016979589843749920e+02,-2.873587890625000085e+01
1.008881835937500000e+02,-3.272820312500000028e+01
9.988609375000000057e+01,-3.675464843750000199e+01
9.874536132812500000e+01,-4.045638793945312273e+01
9.729285156250000455e+01,-4.418301757812500341e+01
9.538495117187500227e+01,-4.785307617187500284e+01
9.321242187499998977e+01,-5.079011718750000171e+01
9.038873046874999773e+01,-5.335587890624999829e+01
8.693511718749999773e+01,-5.557586914062500227e+01
8.342144531249999773e+01,-5.725646484374999545e+01
7.968030273437500455e+01,-5.863480468750000085e+01
7.568067382812500909e+01,-5.977643554687499972e+01
7.190835937500000341e+01,-6.061493164062500227e+01
6.794652343750000512e+01,-6.129723632812500256e+01
6.385002441406250284e+01,-6.182566406249999602e+01
5.995172363281250227e+01,-6.218577148437499602e+01
5.595840332031249886e+01,-6.242809570312500256e+01
5.189021484375000171e+01,-6.255685546875000114e+01
4.788922851562499972e+01,-6.257716796875000398e+01
4.389296875000000142e+01,-6.249941406249999432e+01
3.988206298828124829e+01,-6.232798828125000057e+01
3.586393066406250085e+01,-6.206580078125000455e+01
3.184439697265624858e+01,-6.171466796874999972e+01
2.786479003906249829e+01,-6.127966796875000455e+01
2.394344482421875142e+01,-6.076458984375000227e+01
1.989299560546874801e+01,-6.013910156250000227e+01
1.592527587890625007e+01,-5.942872070312500199e+01
1.208741210937499844e+01,-5.864159179687500512e+01
8.098383789062499005e+00,-5.770669921875000341e+01
4.173691406250000568e+00,-5.665193359375000171e+01
5.029052734375000222e-01,-5.551831054687500000e+01
-3.447890624999999876e+00,-5.409259765624999972e+01
-7.072661132812499751e+00,-5.252011718749999858e+01
-1.061502441406249986e+01,-5.058310546874999858e+01
-1.371586425781250007e+01,-4.819750976562500000e+01
-1.573011718749999943e+01,-4.547121093750000398e+01
-1.738339355468750114e+01,-4.148466674804687671e+01
-1.840004882812500142e+01,-3.787500000000000000e+01
-1.923478027343750085e+01,-3.394223632812500568e+01
-1.992489685058593807e+01,-2.972081054687500057e+01
-2.040979919433593892e+01,-2.596324218750000057e+01
-2.082063476562500171e+01,-2.198161132812499829e+01
-2.115889160156250171e+01,-1.780208007812500171e+01
-2.140470275878906392e+01,-1.385248046874999872e+01
-2.158772399902343864e+01,-9.913027343750000497e+00
-2.171777282714843693e+01,-5.876884765625000284e+00
-2.179587463378906165e+01,-1.761982421874999982e+00
-2.182289611816406349e+01,2.216572265624999982e+00
-2.180480957031250000e+01,6.208164062499999858e+00
-2.174281249999999943e+01,1.022396942138671960e+01
-2.163778869628906421e+01,1.424883300781250028e+01
-2.148949218749999801e+01,1.829342285156250014e+01
-2.129900390625000028e+01,2.232340332031250085e+01
-2.106741638183593679e+01,2.631614746093750057e+01
-2.079562500000000114e+01,3.025616699218750227e+01
-2.046631896972656506e+01,3.433810546875000114e+01
-2.008656249999999943e+01,3.840321289062499943e+01
-1.966349609374999829e+01,4.235111328125000085e+01
-1.919822753906250057e+01,4.616252929687500028e+01
-1.860888671875000000e+01,5.037534179687500568e+01
-1.796149414062499972e+01,5.437715820312499915e+01
-1.726181640624999858e+01,5.810665527343749659e+01
-1.633900390624999943e+01,6.224717773437500057e+01
-1.526720703124999901e+01,6.612882324218750796e+01
-1.393931640625000057e+01,6.977338867187499716e+01
-1.189898925781250050e+01,7.324777832031250568e+01
-9.027456054687499787e+00,7.529411621093748863e+01
-5.304130859375000284e+00,7.685082519531249545e+01
-1.372719726562499964e+00,7.798536132812500909e+01
2.465795898437500355e+00,7.881479980468749602e+01
6.515170898437499858e+00,7.949479492187499829e+01
1.042741241455078161e+01,8.001398925781249716e+01
1.446291015625000043e+01,8.044041259765624829e+01
1.844615234375000057e+01,8.077363281249999716e+01
2.244154541015625171e+01,8.103484130859374091e+01
2.648906249999999929e+01,8.123538085937499886e+01
3.044439697265625000e+01,8.137639404296875512e+01
3.454427490234374432e+01,8.147073730468750341e+01
3.844873046875000000e+01,8.151490234374999488e+01
4.258869628906249716e+01,8.151467041015624204e+01
4.664878906250000057e+01,8.146581787109374773e+01
5.071166015625000512e+01,8.135681640625000455e+01
